sampleId,sampleClass,expectedType,threshold,sampleArea,validArea,classifiedGreenArea,classifiedGreenPercent,areaUnit,reviewStatus
N1,large-roof,non-green,0.2,3572.3690274706073,3572.3690274706073,0,0,m2,agent-visual-accepted-human-pending
N1,large-roof,non-green,0.25,3572.3690274706073,3572.3690274706073,0,0,m2,agent-visual-accepted-human-pending
N1,large-roof,non-green,0.3,3572.3690274706073,3572.3690274706073,0,0,m2,agent-visual-accepted-human-pending
N1,large-roof,non-green,0.35,3572.3690274706073,3572.3690274706073,0,0,m2,agent-visual-accepted-human-pending
N1,large-roof,non-green,0.4,3572.3690274706073,3572.3690274706073,0,0,m2,agent-visual-accepted-human-pending
N1,large-roof,non-green,0.45,3572.3690274706073,3572.3690274706073,0,0,m2,agent-visual-accepted-human-pending
G1,green-ground,green,0.2,1582.7669562844671,1582.7669562844671,1582.7669562844671,100,m2,agent-visual-accepted-human-pending
G1,green-ground,green,0.25,1582.7669562844671,1582.7669562844671,1582.7669562844671,100,m2,agent-visual-accepted-human-pending
G1,green-ground,green,0.3,1582.7669562844671,1582.7669562844671,1582.7669562844671,100,m2,agent-visual-accepted-human-pending
G1,green-ground,green,0.35,1582.7669562844671,1582.7669562844671,1582.7669562844671,100,m2,agent-visual-accepted-human-pending
G1,green-ground,green,0.4,1582.7669562844671,1582.7669562844671,1582.3749881220801,99.97523525741862,m2,agent-visual-accepted-human-pending
G1,green-ground,green,0.45,1582.7669562844671,1582.7669562844671,1582.3749881220801,99.97523525741862,m2,agent-visual-accepted-human-pending
G2,compound-canopy,green,0.2,1583.5416892855774,1583.5416892855774,1583.5416892855774,100,m2,agent-visual-accepted-human-pending
G2,compound-canopy,green,0.25,1583.5416892855774,1583.5416892855774,1583.5416892855774,100,m2,agent-visual-accepted-human-pending
G2,compound-canopy,green,0.3,1583.5416892855774,1583.5416892855774,1583.5416892855774,100,m2,agent-visual-accepted-human-pending
G2,compound-canopy,green,0.35,1583.5416892855774,1583.5416892855774,1583.5416892855774,100,m2,agent-visual-accepted-human-pending
G2,compound-canopy,green,0.4,1583.5416892855774,1583.5416892855774,1583.5416892855774,100,m2,agent-visual-accepted-human-pending
G2,compound-canopy,green,0.45,1583.5416892855774,1583.5416892855774,1583.5416892855774,100,m2,agent-visual-accepted-human-pending
G3,dense-canopy,green,0.2,3573.1175806382125,3573.1175806382125,3573.1175806382125,100,m2,agent-visual-accepted-human-pending
G3,dense-canopy,green,0.25,3573.1175806382125,3573.1175806382125,3573.1175806382125,100,m2,agent-visual-accepted-human-pending
G3,dense-canopy,green,0.3,3573.1175806382125,3573.1175806382125,3573.1175806382125,100,m2,agent-visual-accepted-human-pending
G3,dense-canopy,green,0.35,3573.1175806382125,3573.1175806382125,3573.1175806382125,100,m2,agent-visual-accepted-human-pending
G3,dense-canopy,green,0.4,3573.1175806382125,3573.1175806382125,3573.1175806382125,100,m2,agent-visual-accepted-human-pending
G3,dense-canopy,green,0.45,3573.1175806382125,3573.1175806382125,3573.1175806382125,100,m2,agent-visual-accepted-human-pending
N2,roof-block,non-green,0.2,3573.95989891501,3573.95989891501,304.558792144177,8.521606306680598,m2,agent-visual-accepted-human-pending
N2,roof-block,non-green,0.25,3573.95989891501,3573.95989891501,119.550126767626,3.345032685003524,m2,agent-visual-accepted-human-pending
N2,roof-block,non-green,0.3,3573.95989891501,3573.95989891501,99.95174407958984,2.796666636073152,m2,agent-visual-accepted-human-pending
N2,roof-block,non-green,0.35,3573.95989891501,3573.95989891501,0,0,m2,agent-visual-accepted-human-pending
N2,roof-block,non-green,0.4,3573.95989891501,3573.95989891501,0,0,m2,agent-visual-accepted-human-pending
N2,roof-block,non-green,0.45,3573.95989891501,3573.95989891501,0,0,m2,agent-visual-accepted-human-pending
N3,transport-surface,non-green,0.2,1196.6689659866631,1196.6689659866631,186.96726738424863,15.623975610505836,m2,agent-visual-accepted-human-pending
N3,transport-surface,non-green,0.25,1196.6689659866631,1196.6689659866631,0,0,m2,agent-visual-accepted-human-pending
N3,transport-surface,non-green,0.3,1196.6689659866631,1196.6689659866631,0,0,m2,agent-visual-accepted-human-pending
N3,transport-surface,non-green,0.35,1196.6689659866631,1196.6689659866631,0,0,m2,agent-visual-accepted-human-pending
N3,transport-surface,non-green,0.4,1196.6689659866631,1196.6689659866631,0,0,m2,agent-visual-accepted-human-pending
N3,transport-surface,non-green,0.45,1196.6689659866631,1196.6689659866631,0,0,m2,agent-visual-accepted-human-pending
M1,residential-trees,mixed,0.2,3596.653155338063,3596.653155338063,2468.9754952823414,68.64647183501556,m2,agent-visual-accepted-human-pending
M1,residential-trees,mixed,0.25,3596.653155338063,3596.653155338063,2269.074364606072,63.08849551529227,m2,agent-visual-accepted-human-pending
M1,residential-trees,mixed,0.3,3596.653155338063,3596.653155338063,2229.0941461002126,61.97690046347246,m2,agent-visual-accepted-human-pending
M1,residential-trees,mixed,0.35,3596.653155338063,3596.653155338063,1629.3906930362477,45.30296980730396,m2,agent-visual-accepted-human-pending
M1,residential-trees,mixed,0.4,3596.653155338063,3596.653155338063,1391.0771453857421,38.67698900354459,m2,agent-visual-accepted-human-pending
M1,residential-trees,mixed,0.45,3596.653155338063,3596.653155338063,1174.7135070800782,32.661295274930744,m2,agent-visual-accepted-human-pending
M2,buildings-gardens,mixed,0.2,3574.7415779562552,3574.7415779562552,2620.693105899586,73.31140024387116,m2,agent-visual-accepted-human-pending
M2,buildings-gardens,mixed,0.25,3574.7415779562552,3574.7415779562552,2072.722823647892,57.982452114284165,m2,agent-visual-accepted-human-pending
M2,buildings-gardens,mixed,0.3,3574.7415779562552,3574.7415779562552,1164.5346028047447,32.576749323248436,m2,agent-visual-accepted-human-pending
M2,buildings-gardens,mixed,0.35,3574.7415779562552,3574.7415779562552,738.4661967558019,20.657890385967328,m2,agent-visual-accepted-human-pending
M2,buildings-gardens,mixed,0.4,3574.7415779562552,3574.7415779562552,601.6696173275218,16.83113601939045,m2,agent-visual-accepted-human-pending
M2,buildings-gardens,mixed,0.45,3574.7415779562552,3574.7415779562552,177.1691572301528,4.9561388807143825,m2,agent-visual-accepted-human-pending
M3,mixed-urban-fabric,mixed,0.2,3574.3126585418104,3574.3126585418104,2637.1286173203407,73.7800206430792,m2,agent-visual-accepted-human-pending
M3,mixed-urban-fabric,mixed,0.25,3574.3126585418104,3574.3126585418104,2050.3596294328277,57.363745852868384,m2,agent-visual-accepted-human-pending
M3,mixed-urban-fabric,mixed,0.3,3574.3126585418104,3574.3126585418104,1750.5077922746248,48.974668964431565,m2,agent-visual-accepted-human-pending
M3,mixed-urban-fabric,mixed,0.35,3574.3126585418104,3574.3126585418104,1570.5966503068514,43.941221721425954,m2,agent-visual-accepted-human-pending
M3,mixed-urban-fabric,mixed,0.4,3574.3126585418104,3574.3126585418104,1272.31262847302,35.59600824042285,m2,agent-visual-accepted-human-pending
M3,mixed-urban-fabric,mixed,0.45,3574.3126585418104,3574.3126585418104,972.4607989442114,27.206931565436697,m2,agent-visual-accepted-human-pending
N4,dense-built-up,non-green,0.2,3573.116653711656,3573.116653711656,1038.6968035529642,29.06977029350537,m2,agent-visual-accepted-human-pending
N4,dense-built-up,non-green,0.25,3573.116653711656,3573.116653711656,326.50358557607615,9.137781304646552,m2,agent-visual-accepted-human-pending
N4,dense-built-up,non-green,0.3,3573.116653711656,3573.116653711656,0,0,m2,agent-visual-accepted-human-pending
N4,dense-built-up,non-green,0.35,3573.116653711656,3573.116653711656,0,0,m2,agent-visual-accepted-human-pending
N4,dense-built-up,non-green,0.4,3573.116653711656,3573.116653711656,0,0,m2,agent-visual-accepted-human-pending
N4,dense-built-up,non-green,0.45,3573.116653711656,3573.116653711656,0,0,m2,agent-visual-accepted-human-pending
